ID	TOKEN	CATEGORY
219	OCC_71	OCCUPATION
220	OCC_72	OCCUPATION
221	OCC_73	OCCUPATION
222	OCC_74	OCCUPATION
223	OCC_75	OCCUPATION
224	OCC_76	OCCUPATION
225	OCC_77	OCCUPATION
226	OCC_78	OCCUPATION
227	OCC_79	OCCUPATION
228	OCC_80	OCCUPATION
229	OCC_81	OCCUPATION
230	OCC_82	OCCUPATION
231	OCC_83	OCCUPATION
232	OCC_84	OCCUPATION
233	OCC_85	OCCUPATION
234	OCC_86	OCCUPATION
235	OCC_87	OCCUPATION
236	OCC_88	OCCUPATION
237	OCC_89	OCCUPATION
238	OCC_90	OCCUPATION
239	OCC_91	OCCUPATION
240	OCC_92	OCCUPATION
241	OCC_93	OCCUPATION
242	OCC_94	OCCUPATION
243	OCC_95	OCCUPATION
244	OCC_96	OCCUPATION
245	OCC_97	OCCUPATION
246	OCC_98	OCCUPATION
247	OCC_99	OCCUPATION
248	IND_0	INDUSTRY
249	IND_1	INDUSTRY
250	IND_2	INDUSTRY
251	IND_3	INDUSTRY
252	IND_4	INDUSTRY
253	IND_5	INDUSTRY
254	IND_6	INDUSTRY
255	IND_7	INDUSTRY
256	IND_8	INDUSTRY
257	IND_9	INDUSTRY
258	IND_10	INDUSTRY
259	IND_11	INDUSTRY
260	IND_12	INDUSTRY
261	IND_13	INDUSTRY
262	IND_14	INDUSTRY
263	IND_15	INDUSTRY
264	IND_16	INDUSTRY
265	IND_17	INDUSTRY
266	IND_18	INDUSTRY
267	IND_19	INDUSTRY
268	IND_20	INDUSTRY
269	IND_21	INDUSTRY
270	IND_22	INDUSTRY
271	IND_23	INDUSTRY
272	IND_24	INDUSTRY
273	IND_25	INDUSTRY
274	IND_26	INDUSTRY
275	IND_27	INDUSTRY
276	IND_28	INDUSTRY
277	IND_29	INDUSTRY
278	IND_30	INDUSTRY
279	IND_31	INDUSTRY
280	IND_32	INDUSTRY
281	IND_33	INDUSTRY
282	IND_34	INDUSTRY
283	IND_35	INDUSTRY
284	IND_36	INDUSTRY
285	IND_37	INDUSTRY
286	IND_38	INDUSTRY
287	IND_39	INDUSTRY
288	IND_40	INDUSTRY
289	IND_41	INDUSTRY
290	IND_42	INDUSTRY
291	IND_43	INDUSTRY
292	IND_44	INDUSTRY
293	IND_45	INDUSTRY
294	IND_46	INDUSTRY
